effective_date,ticker,action,primary_source,secondary_source,agreement,confidence,note
2010-07-01,STR,REMOVE,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2010-07-15,MIL,REMOVE,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2010-08-27,SII,REMOVE,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2010-11-17,IR,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2010-11-17,PTV,REMOVE,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2010-12-20,CVC,ADD,qzzcl,leandroloi,True,CONFIRMED,
2010-12-20,EKDKQ,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2010-12-20,FFIV,ADD,qzzcl,leandroloi,True,CONFIRMED,
2010-12-20,KG,REMOVE,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2010-12-20,NFLX,ADD,qzzcl,leandroloi,True,CONFIRMED,
2010-12-20,NFX,ADD,qzzcl,leandroloi,True,CONFIRMED,
2010-12-20,NYT,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2010-12-20,ODP,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2011-01-04,MDP,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2011-01-04,MMI,ADD,qzzcl,leandroloi,True,CONFIRMED,
2011-01-18,NE,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2011-01-18,QLGC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
