date,Q1,Q2,Q3,Q4,Q5,horizon
2006-08-01,-0.0011931042264044088,0.012230004544746147,0.009311499959615444,0.016264163685349612,0.0024891714410225805,10
2006-08-02,0.0063387288523208025,0.022503888045045876,0.012319442861717073,0.020745404455878694,0.015506154973643806,10
2006-08-03,0.008378624004148018,0.022562769574161822,0.007073814169120267,0.012809767808809002,0.0037858261777935233,10
2006-08-04,0.014281220757289588,0.02663012930638946,0.014540693044768667,0.022122778914209357,0.015587927822203033,10
2006-08-07,0.011029689658628699,0.02240321552112047,0.015736262231358,0.01884358924277361,0.012306510771672429,10
2006-08-08,0.025326198172823194,0.03753893651145712,0.02550296934097317,0.030537715539048153,0.03043263011157029,10
2006-08-09,0.02879058863690237,0.03007244145183463,0.02465590414011459,0.026548421434186887,0.02612899645942874,10
2006-08-10,0.025527591569821526,0.021841827977188363,0.01750744907753318,0.01641127491348342,0.01623791951626375,10
2006-08-11,0.03972742785591172,0.029704201401116015,0.02638833411966231,0.024904454878885228,0.034226665326716754,10
2006-08-14,0.04854002333564929,0.03503002720012296,0.03200414510461324,0.03243348444545392,0.04174881389120096,10
2006-08-15,0.03950950059626838,0.025840174470515884,0.021375333135736932,0.020924400450877217,0.022415991352979316,10
2006-08-16,0.032081839363872044,0.019361095998805658,0.008695094363851904,0.0067657321422462426,0.007409127951626726,10
2006-08-17,0.0233843822006611,0.01812586614748248,0.007760630797804027,0.003606794399862398,0.009494160951077251,10
2006-08-18,0.02562994729701573,0.015062343215792874,0.011423890057150197,0.008143575245709961,0.010611613250463503,10
2006-08-21,0.04573225559515522,0.02985424651755282,0.02589313521392491,0.023833151554844965,0.03028625285955274,10
2006-08-22,0.02122105786623623,0.006428189465763488,0.005129745912034597,0.002055968679239102,-0.002816728433147672,10
2006-08-23,0.025711993870791934,0.01199071901372985,0.012751063606165977,0.005704014284522537,0.0025311707345282166,10
2006-08-24,0.028953921019946795,0.014399057068090538,0.0162509528543363,0.012255798990377249,0.004087193206454777,10
2006-08-25,0.026584564906841586,0.011865693085700575,0.015623799568770547,0.005988179271215921,-0.005251485393272195,10
2006-08-28,0.042494901603355256,0.024927640224946195,0.02992396795370852,0.017291753372047653,0.006106149789931618,10
2006-08-29,0.03473895015771167,0.023673095458369747,0.025679760516241306,0.013929805797125031,0.014601687704462355,10
2006-08-30,0.02540747421224632,0.012098804308721506,0.016232683632145594,0.006442032577091996,0.001963122648226033,10
2006-08-31,0.02589651047555177,0.014256420230415083,0.013732587667957884,0.006931333441505533,-0.00022425728477262478,10
2006-09-01,0.025291973825259058,0.008723295990300755,0.012215212532801209,0.004539466313572417,0.001600790665397962,10
2006-09-05,0.0105274372162096,-7.991213415365841e-05,0.002140920926078182,-0.005797228262484512,-0.017753705884190236,10
2006-09-06,0.03828148858789385,0.02952830964780195,0.032089119187440326,0.021971106581933356,0.02166129795976471,10
2006-09-07,0.03664023278954539,0.025128358609381448,0.027161290118774734,0.023211849666285346,0.018125011706308793,10
