date,horizon,ic
2006-10-05,10,-0.11364699251406658
2006-10-06,10,-0.07960087174031497
2006-10-09,10,-0.052444856673507526
2006-10-10,10,-0.04529129425039571
2006-10-11,10,-0.06610966193223208
2006-10-12,10,-0.033351630353995895
2006-10-13,10,-0.01690723114279445
2006-10-16,10,0.02422735819376978
2006-10-17,10,0.003930180374538823
2006-10-18,10,-0.014189113924123106
2006-10-19,10,0.008134282918048368
2006-10-20,10,-0.030653977155981102
2006-10-23,10,-0.02875254453709769
2006-10-24,10,-0.02824929610112008
2006-10-25,10,-0.010693547918977454
2006-10-26,10,0.007045354240941254
2006-10-27,10,0.018729861107424656
2006-10-30,10,0.0012363501641657745
2006-10-31,10,-0.01923307420277504
2006-11-01,10,-0.0628805946396978
2006-11-02,10,-0.09075160902516297
2006-11-03,10,-0.06676094357679993
2006-11-06,10,-0.06671995997797935
2006-11-07,10,-0.07889968216490101
2006-11-08,10,-0.07600338482138978
2006-11-09,10,-0.07411470600631245
2006-11-10,10,-0.05239656168406583
2006-11-13,10,-0.03753275319824438
2006-11-14,10,-0.017324803743989627
2006-11-15,10,0.003620654086424196
2006-11-16,10,-0.00010360632030051935
2006-11-17,10,0.03911795240467977
2006-11-20,10,0.018949847654771014
2006-11-21,10,0.005914848818952588
2006-11-22,10,0.00776757145252857
2006-11-24,10,0.012444617121592222
2006-11-27,10,0.04354238463348443
2006-11-28,10,0.024451751978019104
2006-11-29,10,0.05068095937107999
2006-11-30,10,0.055841223970295055
2006-12-01,10,0.06592490842250356
2006-12-04,10,0.00813544021250911
2006-12-05,10,0.021292270257716822
2006-12-06,10,0.008772127813524207
2006-12-07,10,0.0026123777400039972
2006-12-08,10,-0.03277016268317526
2006-12-11,10,-0.0518587418019531
2006-12-12,10,-0.013320426675665907
2006-12-13,10,-0.02403911890041856
2006-12-14,10,-0.015014935931220708
2006-12-15,10,-0.023903645455199282
2006-12-18,10,-0.018200470006215465
2006-12-19,10,-0.03188585275129028
2006-12-20,10,0.021602578650124094
2006-12-21,10,0.04307836502896483
2006-12-22,10,0.07021026885220391
2006-12-26,10,0.060434817663185376
2006-12-27,10,0.05022440041549362
2006-12-28,10,0.0566604964855332
2006-12-29,10,0.0577622047563453
2007-01-03,10,0.053709500290970255
2007-01-04,10,0.037195901173019706
2007-01-05,10,0.04408004200314291
2007-01-08,10,-0.01675586265427699
2007-01-09,10,-0.019026909734593287
