formation_date,entry_date,exit_date,n_holdings,gross_return,net_return,turnover,cost,median_marketcap,median_adv_proxy
2013-03-06,2013-03-07,2013-04-05,298,-0.026805473753992372,-0.02727059003306214,0.46511627906976744,0.00046511627906976747,1233.6,
2013-04-04,2013-04-05,2013-05-03,299,0.0513924457982492,0.05101330672540152,0.3791390728476821,0.0003791390728476821,1462.8000000000002,
2013-05-02,2013-05-03,2013-06-03,305,0.04959877794438926,0.04914140089520893,0.45737704918032784,0.00045737704918032786,1461.0,
2013-05-31,2013-06-03,2013-07-01,308,0.0025645681516458293,0.0021403746032587325,0.4241935483870968,0.0004241935483870968,1127.85,
2013-06-28,2013-07-01,2013-07-30,308,0.054600463609927236,0.05421264309710672,0.38782051282051283,0.0003878205128205128,872.0,
2013-07-29,2013-07-30,2013-08-27,312,-0.011524728446775882,-0.011925686913229556,0.4009584664536741,0.00040095846645367417,878.0,
2013-08-26,2013-08-27,2013-09-25,315,0.05591762327323078,0.055453900875754435,0.4637223974763407,0.00046372239747634065,1043.1,
2013-09-24,2013-09-25,2013-10-23,312,0.034326679314473196,0.033933934834977926,0.39274447949526814,0.00039274447949526814,1321.4,
2013-10-22,2013-10-23,2013-11-20,314,-0.028421247110473304,-0.028823762833743743,0.4025157232704403,0.0004025157232704403,1452.65,
2013-11-19,2013-11-20,2013-12-19,314,0.010957604640243389,0.010419987085384455,0.5376175548589341,0.0005376175548589341,1370.5,
2013-12-18,2013-12-19,2014-01-21,319,0.0364760467438409,0.03609360160277507,0.3824451410658307,0.0003824451410658307,1530.2,
2014-01-17,2014-01-21,2014-02-19,319,0.005069614226478005,0.004648806773061856,0.42080745341614906,0.00042080745341614907,1501.0500000000002,
2014-02-18,2014-02-19,2014-03-19,323,0.05503208699963651,0.054538259839142685,0.49382716049382713,0.0004938271604938272,1495.75,
2014-03-18,2014-03-19,2014-04-16,324,-0.06961080850216991,-0.06997850080986222,0.3676923076923077,0.0003676923076923077,1431.1,
2014-04-15,2014-04-16,2014-05-15,325,-0.020552800834481563,-0.02099944717594498,0.44664634146341464,0.00044664634146341465,1515.5,
2014-05-14,2014-05-15,2014-06-13,325,0.0497686841546678,0.04926564464098999,0.5030395136778115,0.0005030395136778116,1819.95,
2014-06-12,2014-06-13,2014-07-14,327,0.011773333958469991,0.011365478973575732,0.4078549848942598,0.00040785498489425976,1931.4,
2014-07-11,2014-07-14,2014-08-11,327,-0.031326591378719355,-0.031734723908839836,0.40813253012048195,0.000408132530120482,1938.1,
2014-08-08,2014-08-11,2014-09-09,328,0.053410327527884216,0.052869664877281806,0.5406626506024096,0.0005406626506024095,1537.6,
2014-09-08,2014-09-09,2014-10-07,327,-0.07540844328796825,-0.07580270310669937,0.3942598187311178,0.00039425981873111784,1827.25,
2014-10-06,2014-10-07,2014-11-04,325,0.03927225479600164,0.03886524260087969,0.4070121951219512,0.00040701219512195126,2182.1,
