scale,paths,breachProbability1m,breachProbability3m,breachProbability6m,breachProbability12m,dailyLimitBreachProbability,drawdownBreachProbability,expectedPayout,medianPayout,expectedNetPayout,medianNetPayout,p05NetPayout,probabilityAnyPayout,medianDaysToFirstPayout,medianDrawdownUtilization,p95DrawdownUtilization,expectedResets,expectedFees,candidate,label,drawdownRule
0.25,5000,0.0,0.0008,0.0064,0.0344,0.0,0.0344,79.73228091196269,0.0,-437.6677190880373,-500.0,-500.0,0.0648,218.0,0.518678611684017,0.9446160522339289,0.0348,517.4,mrm,Canonical MRM,trailing_to_breakeven
0.3,5000,0.0,0.0042,0.0284,0.0964,0.0,0.0964,237.3037053898206,0.0,-311.69629461017934,-500.0,-1000.0,0.1436,205.0,0.6220372460872532,1.0234167261750704,0.098,549.0,mrm,Canonical MRM,trailing_to_breakeven
0.35,5000,0.0,0.0162,0.0668,0.1736,0.0,0.1736,502.6504255286308,0.0,-89.6495744713692,-500.0,-1000.0,0.2432,194.0,0.7209578863922022,1.0586329576337339,0.1846,592.3,mrm,Canonical MRM,trailing_to_breakeven
0.4,5000,0.0,0.034,0.1238,0.272,0.0,0.272,878.1205645615125,0.0,226.8205645615126,-500.0,-1000.0,0.3388,186.0,0.8237367160980649,1.0941585898912765,0.3026,651.3,mrm,Canonical MRM,trailing_to_breakeven
0.45,5000,0.002,0.0684,0.1952,0.3838,0.0,0.3838,1325.2376977069657,0.0,595.1376977069658,-500.0,-1500.0,0.424,177.0,0.9255327840715726,1.1638749898939391,0.4602,730.1,mrm,Canonical MRM,trailing_to_breakeven
0.5,5000,0.0244,0.1398,0.3026,0.5328,0.0,0.5328,1837.9950672505252,96.19928024981056,975.5950672505252,-500.0,-1500.0,0.5064,167.0,1.0077437038188266,1.2185918783152883,0.7248,862.4,mrm,Canonical MRM,trailing_to_breakeven
0.55,5000,0.0312,0.1808,0.365,0.6166,0.0,0.6166,2374.737594116368,885.9690850966726,1418.837594116368,-69.97983081301206,-1500.0,0.566,158.0,1.0291041721986707,1.278650516046631,0.9118,955.9,mrm,Canonical MRM,trailing_to_breakeven
0.6,5000,0.0422,0.2296,0.4368,0.7006,0.1878,0.6244,2889.4252202302255,1501.1305006324606,1812.3252202302256,430.8358035735787,-2000.0,0.611,150.0,1.0354385503624484,1.2462978136563498,1.1542,1077.1,mrm,Canonical MRM,trailing_to_breakeven
0.65,5000,0.0752,0.2934,0.5212,0.785,0.3316,0.7002,3419.8953216084055,2129.6036274770686,2152.4953216084054,912.9382179135923,-2500.0,0.6492,143.0,1.0542995535852897,1.2684622931191922,1.5348,1267.4,mrm,Canonical MRM,trailing_to_breakeven
0.7,5000,0.0912,0.3508,0.5978,0.8464,0.4784,0.8042,3792.96188832805,2413.4093471759,2041.2618883280502,711.7152570641017,-3500.0,0.6714,138.0,1.0629786279550535,1.3023409310046672,2.5034,1751.7,mrm,Canonical MRM,trailing_to_breakeven
0.75,5000,0.0992,0.3892,0.6448,0.8812,0.4784,0.852,4351.709233561039,3011.2247808649845,2482.3092335610395,1181.7374046004202,-3500.0,0.702,130.0,1.0953133718907968,1.341946323493139,2.7388,1869.4,mrm,Canonical MRM,trailing_to_breakeven
0.8,5000,0.1232,0.444,0.7022,0.9146,0.4784,0.898,4786.842042841901,3488.2949887344207,2748.4420428419007,1435.964957119321,-3500.0,0.7232,125.0,1.1396960073698041,1.3710654159668776,3.0768,2038.4,mrm,Canonical MRM,trailing_to_breakeven
0.85,5000,0.1502,0.502,0.7614,0.949,0.5808,0.9206,5129.722678959514,3807.5375346852234,2864.2226789595143,1549.2532498652643,-4000.0,0.7374,122.0,1.1440579593351965,1.407906189601466,3.531,2265.5,mrm,Canonical MRM,trailing_to_breakeven
0.9,5000,0.1902,0.5844,0.8368,0.9762,0.6992,0.94,5086.964744554906,3737.3340937684816,2472.9647445549062,1118.119200329285,-4500.0,0.7326,119.0,1.1667774315960937,1.4535215626356301,4.228,2614.0,mrm,Canonical MRM,trailing_to_breakeven
0.95,5000,0.2488,0.6712,0.896,0.9912,0.8128,0.9588,5201.2057073995275,3793.523525162356,2155.305707399528,784.2205104831785,-5000.0,0.7352,116.5,1.1900570074791625,1.4771222134176443,5.0918,3045.9,mrm,Canonical MRM,trailing_to_breakeven
1.0,5000,0.3014,0.7302,0.9284,0.9964,0.9096,0.9602,5467.727328056485,4088.7848632207374,1922.7273280564852,649.1923368147,-5500.0,0.7498,116.0,1.1879932436112188,1.4604178291877299,6.09,3545.0,mrm,Canonical MRM,trailing_to_breakeven
0.1,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-500.0,-500.0,0.0,,0.08445570115535156,0.27285299095623866,0.0,500.0,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.15,5000,0.0,0.0,0.0,0.0,0.0,0.0,1.025516372348238,0.0,-498.9744836276518,-500.0,-500.0,0.002,234.5,0.12698213633771108,0.40927948643437057,0.0,500.0,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.2,5000,0.0,0.0,0.0,0.0014,0.0,0.0014,29.38989481695563,0.0,-471.31010518304436,-500.0,-500.0,0.0276,223.0,0.17357369155281535,0.546137340655827,0.0014,500.7,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.25,5000,0.0,0.0002,0.0008,0.0056,0.0,0.0056,147.72848028178734,0.0,-355.07151971821264,-500.0,-500.0,0.1074,212.0,0.2343585608549244,0.685857282312866,0.0056,502.8,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.3,5000,0.0,0.0014,0.006,0.0206,0.0,0.0206,390.8845568425849,0.0,-119.41544315741514,-500.0,-500.0,0.2048,199.0,0.31452615311320065,0.8350096065024003,0.0206,510.3,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.35,5000,0.0,0.0052,0.0192,0.0468,0.0,0.0468,751.4464763272049,0.0,227.9464763272049,-500.0,-500.0,0.3066,190.0,0.4025567628620714,0.9846747735296023,0.047,523.5,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.4,5000,0.0002,0.0116,0.0394,0.0888,0.0,0.0888,1204.4053705216447,0.0,659.2053705216447,-500.0,-1000.0,0.3976,180.0,0.49207934874149817,1.0286680279927043,0.0904,545.2,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.45,5000,0.0002,0.027,0.0722,0.155,0.0,0.155,1754.056476507264,0.0,1174.456476507264,-500.0,-1000.0,0.4768,171.0,0.5942615037404491,1.0633430891316127,0.1592,579.6,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.5,5000,0.014,0.0752,0.1702,0.326,0.1826,0.1652,2326.446538376025,777.1963658956113,1641.5465383760247,35.60583130589225,-1000.0,0.5476,162.0,0.6611978693220881,1.069927344644429,0.3698,684.9,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.55,5000,0.0146,0.09,0.2016,0.389,0.1826,0.2386,2953.0128953244794,1588.1951598133487,2226.4128953244795,799.7840629025305,-1000.0,0.6088,154.0,0.7492424120989636,1.098220875681213,0.4532,726.6,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.6,5000,0.017,0.1112,0.2396,0.4512,0.1826,0.3108,3624.351239483323,2353.497928902507,2851.0512394833227,1517.2691197234265,-1000.0,0.6618,145.0,0.8435316059683998,1.132295603322721,0.5466,773.3,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.65,5000,0.0318,0.146,0.2964,0.539,0.213,0.3962,4080.715983857409,2787.1067824194383,3150.015983857409,1836.414786607883,-1500.0,0.682,139.5,0.928052719015422,1.1724055134477536,0.8614,930.7,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.7,5000,0.0392,0.1714,0.34,0.6024,0.213,0.4772,4761.879883027357,3454.500065324083,3670.3798830273568,2343.45317306635,-2000.0,0.7176,133.0,1.0030037553294509,1.2049455213465237,1.183,1091.5,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.75,5000,0.0876,0.2738,0.4922,0.7682,0.475,0.5138,5204.407710909619,3883.5455057813265,3882.1077109096186,2569.27322076782,-2500.0,0.7408,128.0,1.0143444284771408,1.246567360324785,1.6446,1322.3,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.8,5000,0.1014,0.3164,0.5456,0.8202,0.5808,0.5434,5841.509917115497,4508.093309165224,4394.909917115498,3066.610322733235,-2500.0,0.7674,122.0,1.02352579549096,1.281233002411192,1.8932,1446.6,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.85,5000,0.1158,0.3468,0.5844,0.85,0.5858,0.6182,6565.919723458676,5233.30840036918,4944.819723458675,3648.4666974289985,-2562.4118089795484,0.7904,117.0,1.031991187291157,1.2577027506084932,2.2422,1621.1,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.9,5000,0.1414,0.3908,0.6416,0.892,0.6684,0.6494,7199.947531291428,5854.667260360822,5436.147531291427,4144.221525836323,-3000.0,0.8138,113.0,1.0411802075188012,1.296869406333034,2.5276,1763.8,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.95,5000,0.2384,0.5808,0.8322,0.9766,0.924,0.582,6593.004258609678,5173.615791020367,4108.804258609678,2729.6988412609385,-4000.0,0.7878,111.0,1.0500255421120637,1.2975007300742811,3.9684,2484.2,vol_scaled,Frozen Vol-Scaled DM/MRM,static
1.0,5000,0.3062,0.687,0.9078,0.9924,0.9788,0.5638,6054.298993807162,4548.297123144206,2896.8989938071622,1410.9971487995006,-5000.0,0.7678,112.0,1.051415829371439,1.3310758613165024,5.3148,3157.4,vol_scaled,Frozen Vol-Scaled DM/MRM,static
0.1,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-500.0,-500.0,0.0,,0.21568595578098515,0.3728170174504431,0.0,500.0,vol_scaled,Frozen Vol-Scaled DM/MRM,trailing_to_breakeven
0.15,5000,0.0,0.0,0.0,0.0,0.0,0.0,1.025516372348238,0.0,-498.9744836276518,-500.0,-500.0,0.002,234.5,0.32352893367147406,0.5592255261756649,0.0,500.0,vol_scaled,Frozen Vol-Scaled DM/MRM,trailing_to_breakeven
0.2,5000,0.0,0.0,0.0002,0.0042,0.0,0.0042,29.38989481695563,0.0,-472.71010518304433,-500.0,-500.0,0.0276,223.0,0.4312062908306967,0.7456340349008868,0.0042,502.1,vol_scaled,Frozen Vol-Scaled DM/MRM,trailing_to_breakeven
