date,Q1,Q2,Q3,Q4,Q5,horizon
2002-02-05,-0.022849466072821973,-0.011428288783821277,-0.01268031726550975,-0.007370540268622259,-0.015578968893486244,1
2002-02-06,-0.0067474454806200875,-0.00937772906041811,-0.011927856712859324,-0.011086862544243835,-0.010527164075889389,1
2002-02-07,0.02550739148815567,0.01842176149907735,0.015588768478815785,0.013831983769762387,0.020327403415685896,1
2002-02-08,0.02273923229785058,0.017741790729364104,0.014490399933749504,0.014188521742493677,0.0176798068432992,1
2002-02-11,-0.0014371675091482715,-0.002433529196345609,-0.0042777252110268804,-0.002725651892889331,-0.0020061991394757154,1
2002-02-12,0.006078175666963308,0.013804470905352731,0.010980755038930609,0.010967419072030119,0.007116178110085061,1
2002-02-13,-0.020606393925239372,-0.005549766749319832,-0.005023742815609439,-0.00380800005086888,-0.011722361870798196,1
2002-02-14,-0.009510783561899773,-0.005747119398711453,-0.003680574495883863,-0.008417551623452172,-0.013417449222322384,1
2002-02-15,-0.03182264089019107,-0.01724418057071759,-0.01849208926998959,-0.017440145963950462,-0.03114872983722922,1
2002-02-19,0.00843030012391014,0.012095452165749556,0.014065809284476,0.01239964535378714,0.012127023477433203,1
2002-02-20,-0.023167068397396063,-0.01700879090613575,-0.010501129018133933,-0.017386177980630167,-0.019250872625570712,1
2002-02-21,0.003446535059750418,0.015356620452030003,0.010887480006997812,0.008480130038985515,0.0011264366525364933,1
2002-02-22,0.016235801442925413,0.014136512448909112,0.015953362776889624,0.01642969187104432,0.019220839243822046,1
2002-02-25,0.011666933735900789,0.00893900279989581,0.00788242276206785,0.005968335019273103,0.005522583194909401,1
2002-02-26,0.005248511948571709,0.001700758825577143,0.0010929706254415963,0.0029784479942629523,0.0035012924784013403,1
2002-02-27,-0.009229584906127878,-0.005439995494934609,-0.0045236962996576535,-0.008293294954512876,-0.014861936657208748,1
2002-02-28,0.030772159192757442,0.025618223656815077,0.023059563223181957,0.021644102399429023,0.031311140811374476,1
2002-03-01,0.04664341429723359,0.029116736208667705,0.025349996914348274,0.027631379982999055,0.04189917174551857,1
2002-03-04,0.017848380172801052,-0.0019455284725814702,-0.00275011339406584,-0.0025120535915142753,-0.005579051352730453,1
2002-03-05,0.0356446075210313,0.017563014447037777,0.01644884661734778,0.011170931821122368,0.006892958103076814,1
2002-03-06,0.013049982051594444,0.006341112874117591,0.002667080685940049,0.0020711725139942864,-0.0021575949039014785,1
2002-03-07,0.025741921118583387,0.013262655635406784,0.00958492338433997,0.008184517472325363,0.0165122983080963,1
2002-03-08,0.009230809315999964,0.0018743740339427612,0.002874771569800553,0.00032425122595297764,0.010087050893127888,1
2002-03-11,-0.012507522648976869,-0.006267197107210939,-0.00571383610327761,-0.004083973995092047,-0.006588118009733076,1
2002-03-12,-0.015672486904867552,-0.011913158505409117,-0.008409696409326291,-0.012016128465074381,-0.017635821952035453,1
2002-03-13,-0.0011230853155830033,0.005884145966656018,0.002584636668203315,0.00039314746908296414,-0.008250289939773715,1
2002-03-14,0.0002547392443432463,0.005140832595953627,0.006980509743701368,0.00491736569923368,-0.0037102724296600113,1
